Priority,Group,Template,Organisation,Contact used,Route type,Status,Date sent,Follow-up due,Reply received,Correction/takedown?,Next action,Notes
High,A,A source (in ARCHAI),Art Institute of Chicago,engineering@artic.edu,email,Not sent,,,,,,
High,A,A source (in ARCHAI),Cleveland Museum of Art,openaccess@clevelandart.org  ·  info@clevelandart.org,email,Not sent,,,,,,
High,A,A source (in ARCHAI),"National Gallery of Art, Washington",ngaimages@nga.gov (image rights)  ·  open-data issues at github.com/NationalGalleryOfArt/opendata,email,Not sent,,,,,,
High,A,A source (in ARCHAI),Rijksmuseum,collectieinfo@rijksmuseum.nl,email,Not sent,,,,,,
High,A,A source (in ARCHAI),Smithsonian Institution,openaccess@si.edu,email,Not sent,,,,,,
High,A,A source (in ARCHAI),Te Papa Tongarewa,collections.api@tepapa.govt.nz  ·  digitaloutreach@tepapa.govt.nz,email,Not sent,,,,,,
High,A,A source (in ARCHAI),The Metropolitan Museum of Art,openaccess@metmuseum.org  ·  image.licensing@metmuseum.org,email,Not sent,,,,,,
High,A,A source (in ARCHAI),Victoria and Albert Museum,hello@vam.ac.uk  ·  developers.vam.ac.uk (API docs),email,Not sent,,,,,,
High,A,A source (in ARCHAI),Wellcome Collection,collections@wellcomecollection.org  ·  info@wellcomecollection.org,email,Not sent,,,,,,
Medium,A,A source (in ARCHAI),Auckland War Memorial Museum,"CollectionEnquiries@aucklandmuseum.com  ·  bjhoare@aucklandmuseum.com (Brodie Hoare, API/technical)",email,Not sent,,,,,,
Medium,A,A source (in ARCHAI),Cooper Hewitt Smithsonian Design Museum,web form / route: General/open data route,web form,Not sent,,,,,,
Medium,A,A source (in ARCHAI),Europeana,api@europeana.eu  ·  info@europeana.eu,email,Not sent,,,,,,
Medium,A,A source (in ARCHAI),Instituto Brasileiro de Museus / Brasiliana Museus,cgsim@museus.gov.br,email,Not sent,,,,,,
Medium,A,A source (in ARCHAI),J. Paul Getty Museum / Getty,reference@getty.edu,email,Not sent,,,,,,
Medium,A,A source (in ARCHAI),Library of Congress,LC-Labs@loc.gov,email,Not sent,,,,,,
Medium,A,A source (in ARCHAI),"M+, Hong Kong",stories@mplus.org.hk (collections)  ·  register for API key at dashboard.mplus.org.hk,email,Not sent,,,,,,
Medium,A,A source (in ARCHAI),RAWG Video Games Database,web form / route: API/support route,web form,Not sent,,,,,,
Medium,A,A source (in ARCHAI),Tate,web form / route: GitHub repository / Tate contact route,web form,Not sent,,,,,,
High,A,A prospective source,National Library of Australia / Trove,web form / route: Trove support/contact route,web form,Not sent,,,,,,
Medium,A,A prospective source,British Library,web form / route: Contact route,web form,Not sent,,,,,,
Medium,A,A prospective source,British Museum,web form / route: Contact route,web form,Not sent,,,,,,
Medium,A,A prospective source,Brooklyn Museum,web form / route: General/open data route,web form,Not sent,,,,,,
Medium,A,A prospective source,Brussels Open Data,web form / route: Open data portal contact,web form,Not sent,,,,,,
Medium,A,A prospective source,DigitalNZ,web form / route: Contact route,web form,Not sent,,,,,,
Medium,A,A prospective source,Harvard Art Museums,web form / route: General/contact route,web form,Not sent,,,,,,
Medium,A,A prospective source,MoMA,web form / route: General contact / GitHub open data,web form,Not sent,,,,,,
Medium,A,A prospective source,"National Gallery, London",web form / route: API documentation/contact route,web form,Not sent,,,,,,
Medium,A,A prospective source,Science Museum Group,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,Canadian Museum of History,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,LACMA,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,Museo Nacional de Bellas Artes,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,National Gallery of Canada,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,National Museum of Korea,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,National Palace Museum,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,Royal Ontario Museum,web form / route: Contact route,web form,Not sent,,,,,,
Low,A,A prospective source,Tokyo National Museum,web form / route: Contact route,web form,Not sent,,,,,,
High,B,B Australian pilot,ACMI,collections.access@acmi.net.au,email,Not sent,,,,,,
High,B,B Australian pilot,Heide Museum of Modern Art,collections@heide.com.au  ·  info@heide.com.au,email,Not sent,,,,,,
High,B,B Australian pilot,Museums Victoria,AskUs@museum.vic.gov.au  ·  research-enquiries form via museumsvictoria.com.au/ask-us,email,Not sent,,,,,,
High,B,B Australian pilot,NFSA,access@nfsa.gov.au  ·  enquiries@nfsa.gov.au,email,Not sent,,,,,,
High,B,B Australian pilot,National Museum of Australia,api@nma.gov.au  ·  information@nma.gov.au,email,Not sent,,,,,,
High,B,B Australian pilot,Powerhouse Museum / MAAS,api@maas.museum  ·  info@powerhouse.com.au,email,Not sent,,,,,,
High,B,B Australian pilot,QAGOMA,gallery@qagoma.qld.gov.au,email,Not sent,,,,,,
High,B,B Australian pilot,State Library Victoria,accessinclusion@slv.vic.gov.au  ·  Ask a Librarian form,email,Not sent,,,,,,
High,B,B Australian pilot,TarraWarra Museum of Art,museum@twma.com.au,email,Not sent,,,,,,
Medium,B,B Australian pilot,National Gallery of Australia,information@nga.gov.au  ·  australian.art@nga.gov.au,email,Not sent,,,,,,
Medium,B,B Australian pilot,National Gallery of Victoria,ngvenquiries@ngv.vic.gov.au,email,Not sent,,,,,,
High,C,C technical partner,CollectionSpace / LYRASIS,collectionspace@lyrasis.org,email,Not sent,,,,,,
High,C,C technical partner,CollectiveAccess,info@collectiveaccess.org  ·  consulting@collectiveaccess.org,email,Not sent,,,,,,
Medium,C,C technical partner,IIIF Consortium,web form / route: IIIF community contact route,web form,Not sent,,,,,,
Medium,C,C technical partner,Omeka / Digital Scholar,web form / route: Official contact form,web form,Not sent,,,,,,
Medium,C,C technical partner,ResourceSpace,web form / route: Official contact form,web form,Not sent,,,,,,
High,D,D advisor,AIATSIS,web form / route: Contact route,web form,Not sent,,,,,,
High,D,D advisor,AMaGA National,info@amaga.org.au,email,Not sent,,,,,,
High,D,D advisor,AMaGA Victoria,enquiries@amagavic.org.au,email,Not sent,,,,,,
High,D,D advisor,Local Contexts,web form / route: Contact route,web form,Not sent,,,,,,
